Op	Description	2019	2019	2019	2019	2019	2020	2020	2020	2020	2020	2021	2021	2021	2021	2021
op 10	Saw Nexteer stock	4.43	4.43	4.43	4.43	4.43	4.36	4.36	4.36	4.36	4.36	4.29	4.29	4.29	4.29	4.29
op 20	rough turn stock o.d.	29.67	29.4	29.19	28.92	28.49	29.22	28.96	28.75	28.49	28.06	28.78	28.53	28.32	28.06	27.64
op 30	OD Grind before heat treat	37.08	36.75	36.48	36.15	35.62	36.52	36.2	35.93	35.61	35.09	35.97	35.66	35.39	35.08	34.56
op 40	rough face o.a.l.	17.35	17.2	17.07	16.92	16.67	17.09	16.94	16.81	16.67	16.42	16.83	16.69	16.56	16.42	16.17
op 50	"rough face o.a.l.,center and chamfer"	17.61	17.46	17.33	17.17	16.92	17.35	17.2	17.07	16.91	16.67	17.09	16.94	16.81	16.66	16.42
op 60	MAKE HOLLOW RACK FROM SOLID RACK	21.8	21.61	21.45	21.26	20.94	21.47	21.29	21.13	20.94	20.63	21.15	20.97	20.81	20.63	20.32
op 70	add flat for teeth. (per end)	25.03	24.81	24.63	24.4	24.04	24.65	24.44	24.26	24.03	23.68	24.28	24.07	23.9	23.67	23.32
op 80	rough mill teeth before heat treat. (per end)	46.35	46.03	45.7	45.39	45.07	45.65	45.34	45.01	44.71	44.39	44.97	44.66	44.33	44.04	43.72
op 90	straighten rack before heat treat	30.53	30.25	30.03	29.76	29.32	30.07	29.8	29.58	29.31	28.88	29.62	29.35	29.14	28.87	28.45
op 100	straighten rack	30.53	30.25	30.03	29.76	29.32	30.07	29.8	29.58	29.31	28.88	29.62	29.35	29.14	28.87	28.45
op 110	"cut to finished length, add ITR threads to both ends"	63.04	62.47	62.02	61.45	60.55	62.09	61.53	61.09	60.53	59.64	61.16	60.61	60.17	56.62	58.75
op 120	OD grind rack teeth end after H.T. (Backside Grind)	48.21	47.77	47.43	46.99	46.3	47.49	47.05	46.72	46.29	45.61	46.78	46.34	46.02	45.6	44.93
op 130	finish mill teeth(before heat treat)	44.5	44.1	43.78	43.38	42.74	43.83	43.44	43.12	42.73	42.1	43.17	42.79	42.47	42.09	41.47
op 140	Finish EDM rack teeth(hard or soft)	208.59	208.59	208.59	208.59	208.59	205.46	205.46	205.46	205.46	205.46	202.38	202.38	202.38	202.38	202.38
op 150	Finish grind rack teeth(hard or soft)	173.93	173.93	173.93	173.93	173.93	171.32	171.32	171.32	171.32	171.32	168.75	168.75	168.75	168.75	168.75
op 160	Polish rack end radial. (per end)	26.17	25.91	25.65	25.39	25.14	25.78	25.52	25.27	25.01	24.76	25.39	25.14	24.89	24.63	24.39
op 170	Polish ball screw end	36.64	36.27	35.91	35.55	35.19	36.09	35.73	35.37	35.02	34.66	35.55	35.19	34.84	34.49	34.14
op 180	Axial polish behind teeth (per end)	23.44	23.28	23.12	22.95	22.79	23.09	22.93	22.77	22.61	22.45	22.74	22.59	22.43	22.27	22.11
op 190	"Vapor hone teeth, removes rust & most H.T. discoloring slight surface finish improvement. (per end)"	9.8	9.71	9.64	9.55	9.41	9.8	9.71	9.64	9.55	9.41	9.8	9.71	9.64	9.55	9.41
op 200	Wire brush teeth to remove rust. (per end)	7.84	7.77	7.71	7.64	7.53	7.84	7.77	7.71	7.64	7.53	7.84	7.77	7.71	7.64	7.53
op 210	Inspect 100% rack teeth inspection. (per end)	40.87	40.5	40.21	39.84	39.25	40.26	39.89	39.61	39.24	38.66	39.66	39.29	39.02	38.65	38.08
op 220	Inspect 100% rack teeth inspection with surface scan. (per end)	23.8	23.63	23.47	23.3	23.14	23.8	23.63	23.47	23.3	23.14	23.8	23.63	23.47	23.3	23.14
op 230	"Inspection 3 pcs (first, middle, end)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
