Op	Description	2019	2020
1 SET-UP CHARGE	Long Pinion without T-Bar Hole or Stop Teeth	271.28	267.21
1-5 PCS	Long Pinion without T-Bar Hole or Stop Teeth	180.85	178.14
6-10 PCS	Long Pinion without T-Bar Hole or Stop Teeth	173.62	171.01
11-15 PCS	Long Pinion without T-Bar Hole or Stop Teeth	167.29	164.78
16-20 PCS	Long Pinion without T-Bar Hole or Stop Teeth	161.86	159.43
21-25 PCS	Long Pinion without T-Bar Hole or Stop Teeth	155.53	153.19
26-50 PCS	Long Pinion without T-Bar Hole or Stop Teeth	151.91	149.63
51-75 PCS	Long Pinion without T-Bar Hole or Stop Teeth	149.2	146.96
76-100 PCS	Long Pinion without T-Bar Hole or Stop Teeth	146.49	144.29
1 SET-UP CHARGE	"Pinion with T-Bar hole, Stop Teeth & Spline"	340.81	337.4
1-5 PCS	"Pinion with T-Bar hole, Stop Teeth & Spline"	259.02	256.43
6-10 PCS	"Pinion with T-Bar hole, Stop Teeth & Spline"	240.84	238.43
11-15 PCS	"Pinion with T-Bar hole, Stop Teeth & Spline"	231.75	229.44
16-20 PCS	"Pinion with T-Bar hole, Stop Teeth & Spline"	226.3	224.03
21-25 PCS	"Pinion with T-Bar hole, Stop Teeth & Spline"	221.76	219.54
26-50 PCS	"Pinion with T-Bar hole, Stop Teeth & Spline"	218.12	215.94
51-75 PCS	"Pinion with T-Bar hole, Stop Teeth & Spline"	214.49	212.34
76-100 PCS	"Pinion with T-Bar hole, Stop Teeth & Spline"	211.76	209.64
SET-UP	Races - Inner: Machine Complete from Production Blank (with Centers in O.D.)	275.22	272.47
1-20 PCS	Races - Inner: Machine Complete from Production Blank (with Centers in O.D.)	132.78	131.46
21-50 PCS	Races - Inner: Machine Complete from Production Blank (with Centers in O.D.)	112.05	110.92
51-100 PCS	Races - Inner: Machine Complete from Production Blank (with Centers in O.D.)	103.74	102.71
101-200 PCS	Races - Inner: Machine Complete from Production Blank (with Centers in O.D.)	97.89	96.91
201+ PCS	Races - Inner: Machine Complete from Production Blank (with Centers in O.D.)	92.88	91.96
SET-UP	Races - Inner: Machine Complete from Production Blank (No Centers Acceptable)	275.22	272.47
1-20 PCS	Races - Inner: Machine Complete from Production Blank (No Centers Acceptable)	176.99	175.22
21-50 PCS	Races - Inner: Machine Complete from Production Blank (No Centers Acceptable)	157.51	155.94
51-100 PCS	Races - Inner: Machine Complete from Production Blank (No Centers Acceptable)	148.2	146.72
101-200 PCS	Races - Inner: Machine Complete from Production Blank (No Centers Acceptable)	137.19	135.82
201+ PCS	Races - Inner: Machine Complete from Production Blank (No Centers Acceptable)	127.87	126.59
SET-UP	Races - Inner: Machine from Solid (w/ Centers in O.D. --- Prototype Operations Supplied Material)	381.08	377.27
1-20 PCS	Races - Inner: Machine from Solid (w/ Centers in O.D. --- Prototype Operations Supplied Material)	145.23	143.78
21-50 PCS	Races - Inner: Machine from Solid (w/ Centers in O.D. --- Prototype Operations Supplied Material)	124.48	123.24
51-100 PCS	Races - Inner: Machine from Solid (w/ Centers in O.D. --- Prototype Operations Supplied Material)	116.18	115.02
101-200 PCS	Races - Inner: Machine from Solid (w/ Centers in O.D. --- Prototype Operations Supplied Material)	109.5	108.4
201+ PCS	Races - Inner: Machine from Solid (w/ Centers in O.D. --- Prototype Operations Supplied Material)	105.35	104.3
RUSH DELIVERY OF 10 PCS	Races - Inner: Machine from Solid (w/ Centers in O.D. --- Prototype Operations Supplied Material)	211.71	209.59
SET-UP	Races - Inner: Machine from Solid (No Centers Acceptable --- Prototype Operations Supplied Material)	381.08	377.27
1-20 PCS	Races - Inner: Machine from Solid (No Centers Acceptable --- Prototype Operations Supplied Material)	189.69	189.79
21-50 PCS	Races - Inner: Machine from Solid (No Centers Acceptable --- Prototype Operations Supplied Material)	170.21	168.51
51-100 PCS	Races - Inner: Machine from Solid (No Centers Acceptable --- Prototype Operations Supplied Material)	160.9	159.29
101-200 PCS	Races - Inner: Machine from Solid (No Centers Acceptable --- Prototype Operations Supplied Material)	149.9	148.4
201+ PCS	Races - Inner: Machine from Solid (No Centers Acceptable --- Prototype Operations Supplied Material)	117.71	116.53
SET-UP	Races - Inner: Finish Grind Including Ball Grooves w/ Centers (Blank or Solid)	211.71	209.59
1-20 PCS	Races - Inner: Finish Grind Including Ball Grooves w/ Centers (Blank or Solid)	95.43	94.48
21-50 PCS	Races - Inner: Finish Grind Including Ball Grooves w/ Centers (Blank or Solid)	81.29	80.48
51-100 PCS	Races - Inner: Finish Grind Including Ball Grooves w/ Centers (Blank or Solid)	73.85	73.11
101-200 PCS	Races - Inner: Finish Grind Including Ball Grooves w/ Centers (Blank or Solid)	70.54	69.83
201+ PCS	Races - Inner: Finish Grind Including Ball Grooves w/ Centers (Blank or Solid)	66.4	65.74
SET-UP	Races - Inner: Finish Grind Including Ball Grooves w/o Centers (Blank or Solid)	211.71	209.59
1-20 PCS	Races - Inner: Finish Grind Including Ball Grooves w/o Centers (Blank or Solid)	139.72	138.33
21-50 PCS	Races - Inner: Finish Grind Including Ball Grooves w/o Centers (Blank or Solid)	127.03	125.76
51-100 PCS	Races - Inner: Finish Grind Including Ball Grooves w/o Centers (Blank or Solid)	118.56	117.38
101-200 PCS	Races - Inner: Finish Grind Including Ball Grooves w/o Centers (Blank or Solid)	110.08	108.98
201+ PCS	Races - Inner: Finish Grind Including Ball Grooves w/o Centers (Blank or Solid)	101.62	100.6
1-20 PCS	Races - Inner: Production Blank Parts Lost in Heat Treat (Prior to Turning/Grinding of One Face)	37.26	36.89
21-50 PCS	Races - Inner: Production Blank Parts Lost in Heat Treat (Prior to Turning/Grinding of One Face)	30.75	30.44
51-100 PCS	Races - Inner: Production Blank Parts Lost in Heat Treat (Prior to Turning/Grinding of One Face)	29.89	29.59
101-200 PCS	Races - Inner: Production Blank Parts Lost in Heat Treat (Prior to Turning/Grinding of One Face)	27.36	27.09
201+ PCS	Races - Inner: Production Blank Parts Lost in Heat Treat (Prior to Turning/Grinding of One Face)	26.5	26.24
1-20 PCS	Races - Inner: Machine from Solid Parts Lost in Heat Treat (Prior to Turning/Grinding of One Face)	49.79	49.29
21-50 PCS	Races - Inner: Machine from Solid Parts Lost in Heat Treat (Prior to Turning/Grinding of One Face)	43.19	42.76
51-100 PCS	Races - Inner: Machine from Solid Parts Lost in Heat Treat (Prior to Turning/Grinding of One Face)	42.35	41.93
101-200 PCS	Races - Inner: Machine from Solid Parts Lost in Heat Treat (Prior to Turning/Grinding of One Face)	38.96	38.57
201+ PCS	Races - Inner: Machine from Solid Parts Lost in Heat Treat (Prior to Turning/Grinding of One Face)	38.11	37.73
